Timestamp, Temperature (ºC), Error,  Output power (W), PWM output, Current, PWM / Current
18:33:43.722 -> 26.74, 3.26, 57.70, 255, 3.91, 65.30
18:33:44.745 -> 26.83, 3.17, 56.08, 255, 3.87, 65.93
18:33:45.761 -> 26.85, 3.15, 56.45, 255, 3.87, 65.93
18:33:46.793 -> 26.92, 3.08, 54.65, 255, 3.87, 65.93
18:33:47.809 -> 27.01, 2.99, 52.82, 255, 3.87, 65.93
18:33:48.832 -> 27.10, 2.90, 51.18, 255, 3.91, 65.30
18:33:49.864 -> 27.14, 2.86, 51.23, 255, 3.87, 65.93
18:33:50.879 -> 27.20, 2.80, 49.83, 255, 3.87, 65.93
18:33:51.893 -> 27.29, 2.71, 47.89, 255, 3.87, 65.93
18:33:52.930 -> 27.37, 2.63, 46.56, 255, 3.87, 65.93
18:33:53.969 -> 27.38, 2.62, 47.04, 255, 3.87, 65.93
18:33:54.961 -> 27.47, 2.53, 44.60, 255, 3.87, 65.93
18:33:56.007 -> 27.56, 2.44, 42.96, 255, 3.91, 65.30
18:33:57.039 -> 27.65, 2.35, 41.31, 255, 3.87, 65.93
18:33:58.039 -> 27.65, 2.35, 42.21, 255, 3.87, 65.93
18:33:59.088 -> 27.74, 2.26, 39.65, 255, 3.87, 65.93
18:34:00.086 -> 27.83, 2.17, 38.00, 255, 3.87, 65.93
18:34:01.101 -> 27.87, 2.13, 37.75, 255, 3.91, 65.30
18:34:02.117 -> 27.92, 2.08, 36.76, 255, 3.87, 65.93
18:34:03.157 -> 28.01, 1.99, 34.69, 233, 3.87, 60.25
18:34:04.172 -> 28.10, 1.90, 33.04, 233, 3.72, 62.68
18:34:05.211 -> 28.16, 1.84, 32.40, 233, 3.75, 62.05
18:34:06.209 -> 28.22, 1.78, 31.39, 233, 3.83, 60.84
18:34:07.257 -> 28.31, 1.69, 29.30, 212, 3.38, 62.74
18:34:08.282 -> 28.38, 1.62, 28.29, 212, 3.19, 66.43
18:34:09.290 -> 28.47, 1.53, 26.41, 212, 3.38, 62.74
18:34:10.320 -> 28.56, 1.44, 24.75, 191, 3.64, 52.44
18:34:11.355 -> 28.60, 1.40, 24.49, 191, 3.27, 58.47
18:34:12.361 -> 28.71, 1.29, 21.93, 191, 2.48, 77.09
18:34:13.390 -> 28.75, 1.25, 21.97, 191, 2.29, 83.41
18:34:14.392 -> 28.84, 1.16, 19.75, 170, 2.82, 60.37
18:34:15.413 -> 28.90, 1.10, 18.94, 170, 3.23, 52.65
18:34:16.453 -> 28.95, 1.05, 18.14, 170, 3.42, 49.75
18:34:17.480 -> 29.02, 0.98, 16.60, 170, 2.10, 80.87
18:34:18.490 -> 29.12, 0.88, 14.74, 148, 1.88, 78.86
18:34:19.512 -> 29.19, 0.81, 13.46, 148, 1.99, 74.39
18:34:20.557 -> 29.23, 0.77, 13.22, 148, 2.82, 52.56
18:34:21.550 -> 29.30, 0.70, 11.61, 127, 2.44, 52.04
18:34:22.595 -> 29.39, 0.61, 9.71, 127, 1.09, 116.72
18:34:23.617 -> 29.44, 0.56, 9.45, 127, 2.63, 48.33
18:34:24.623 -> 29.49, 0.51, 8.45, 127, 2.78, 45.71
18:34:25.675 -> 29.58, 0.42, 6.35, 106, 2.14, 49.54
18:34:26.682 -> 29.65, 0.35, 5.30, 85, 0.71, 119.31
18:34:27.700 -> 29.67, 0.33, 5.38, 85, 1.31, 64.72
18:34:28.714 -> 29.77, 0.23, 2.99, 63, 2.10, 29.97
18:34:29.757 -> 29.84, 0.16, 1.94, 63, 0.79, 79.99
18:34:30.761 -> 29.86, 0.14, 2.01, 63, 0.45, 140.15
18:34:31.802 -> 29.95, 0.05, -0.39, 0, 1.65, 0.00
18:34:32.806 -> 30.03, -0.03, -1.44, 0, -0.00, 0.00
18:34:33.845 -> 30.05, -0.05, -1.36, 0, -0.00, 0.00
18:34:34.845 -> 30.14, -0.14, -3.76, 0, -0.00, 0.00
18:34:35.885 -> 30.16, -0.16, -3.38, 0, -0.00, 0.00
18:34:36.886 -> 30.24, -0.24, -5.26, 0, -0.00, 0.00
18:34:37.926 -> 30.28, -0.28, -5.79, 0, -0.00, 0.00
18:34:38.964 -> 30.33, -0.33, -6.69, 0, -0.00, 0.00
18:34:39.982 -> 30.34, -0.34, -6.45, 0, -0.00, 0.00
18:34:40.982 -> 30.42, -0.42, -8.76, 0, -0.00, 0.00
18:34:42.025 -> 30.42, -0.42, -7.90, 0, -0.00, 0.00
18:34:43.027 -> 30.44, -0.44, -8.38, 0, -0.00, 0.00
18:34:44.063 -> 30.52, -0.52, -10.37, 0, -0.00, 0.00
18:34:45.099 -> 30.52, -0.52, -9.59, 0, -0.00, 0.00
18:34:46.100 -> 30.52, -0.52, -9.59, 0, -0.00, 0.00
18:34:47.137 -> 30.57, -0.57, -10.95, 0, -0.00, 0.00
18:34:48.164 -> 30.61, -0.61, -11.75, 0, -0.00, 0.00
18:34:49.172 -> 30.61, -0.61, -11.28, 0, -0.00, 0.00
18:34:50.210 -> 30.61, -0.61, -11.28, 0, -0.00, 0.00
18:34:51.214 -> 30.66, -0.66, -12.56, 0, -0.00, 0.00
18:34:52.254 -> 30.71, -0.71, -13.39, 0, -0.00, 0.00
18:34:53.257 -> 30.71, -0.71, -13.01, 0, -0.00, 0.00
18:34:54.300 -> 30.71, -0.71, -12.97, 0, -0.00, 0.00
18:34:55.303 -> 30.71, -0.71, -12.97, 0, -0.00, 0.00
18:34:56.325 -> 30.74, -0.74, -13.93, 0, -0.00, 0.00
18:34:57.366 -> 30.78, -0.78, -14.63, 0, -0.00, 0.00
18:34:58.377 -> 30.80, -0.80, -14.90, 0, -0.00, 0.00
18:34:59.380 -> 30.80, -0.80, -14.66, 0, -0.00, 0.00
18:35:00.429 -> 30.80, -0.80, -14.66, 0, -0.00, 0.00
18:35:01.433 -> 30.80, -0.80, -14.66, 0, -0.00, 0.00
18:35:02.478 -> 30.85, -0.85, -15.94, 0, -0.00, 0.00
18:35:03.488 -> 30.86, -0.86, -15.72, 0, -0.00, 0.00
18:35:04.501 -> 30.90, -0.90, -16.76, 0, -0.00, 0.00
18:35:05.550 -> 30.90, -0.90, -16.35, 0, -0.00, 0.00
18:35:06.577 -> 30.90, -0.90, -16.35, 0, -0.00, 0.00
18:35:07.586 -> 30.90, -0.90, -16.35, 0, -0.00, 0.00
18:35:08.593 -> 30.91, -0.91, -16.58, 0, -0.00, 0.00
18:35:09.640 -> 30.95, -0.95, -17.78, 0, -0.00, 0.00
18:35:10.652 -> 30.98, -0.98, -18.13, 0, -0.00, 0.00
18:35:11.666 -> 30.99, -0.99, -18.16, 0, -0.00, 0.00
18:35:12.682 -> 30.99, -0.99, -18.04, 0, -0.00, 0.00
18:35:13.724 -> 30.99, -0.99, -18.03, 0, -0.00, 0.00
18:35:14.734 -> 30.99, -0.99, -18.03, 0, -0.00, 0.00
18:35:15.744 -> 31.02, -1.02, -18.75, 0, 0.04, 0.00
18:35:16.793 -> 31.05, -1.05, -19.46, 0, -0.00, 0.00
18:35:17.809 -> 31.09, -1.09, -20.08, 0, -0.00, 0.00
18:35:18.836 -> 31.09, -1.09, -19.73, 0, -0.00, 0.00
18:35:19.842 -> 31.09, -1.09, -19.72, 0, -0.00, 0.00
18:35:20.873 -> 31.09, -1.09, -19.72, 0, -0.00, 0.00
18:35:21.893 -> 31.09, -1.09, -19.71, 0, -0.00, 0.00
18:35:22.911 -> 31.11, -1.11, -20.27, 0, -0.00, 0.00
18:35:23.959 -> 31.15, -1.15, -21.28, 0, -0.00, 0.00
18:35:24.977 -> 31.17, -1.17, -21.33, 0, -0.00, 0.00
18:35:25.992 -> 31.18, -1.18, -21.55, 0, -0.00, 0.00
18:35:27.010 -> 31.18, -1.18, -21.40, 0, -0.00, 0.00
18:35:28.020 -> 31.18, -1.18, -21.40, 0, -0.00, 0.00
18:35:29.042 -> 31.18, -1.18, -21.39, 0, -0.00, 0.00
18:35:30.059 -> 31.18, -1.18, -21.39, 0, 0.04, 0.00
18:35:31.108 -> 31.22, -1.22, -22.36, 0, -0.00, 0.00
18:35:32.127 -> 31.23, -1.23, -22.41, 0, -0.00, 0.00
18:35:33.134 -> 31.27, -1.27, -23.31, 0, -0.00, 0.00
18:35:34.145 -> 31.28, -1.28, -23.17, 0, -0.00, 0.00
18:35:35.201 -> 31.28, -1.28, -23.08, 0, 0.04, 0.00
18:35:36.218 -> 31.28, -1.28, -23.08, 0, -0.00, 0.00
18:35:37.230 -> 31.28, -1.28, -23.07, 0, -0.00, 0.00
18:35:38.246 -> 31.28, -1.28, -23.07, 0, -0.00, 0.00
18:35:39.263 -> 31.28, -1.28, -23.14, 0, -0.00, 0.00
18:35:40.306 -> 31.31, -1.31, -23.92, 0, -0.00, 0.00
18:35:41.315 -> 31.37, -1.37, -25.41, 0, -0.00, 0.00
18:35:42.325 -> 31.37, -1.37, -24.77, 0, -0.00, 0.00
18:35:43.381 -> 31.37, -1.37, -24.68, 0, -0.00, 0.00
18:35:44.394 -> 31.37, -1.37, -24.78, 0, -0.00, 0.00
18:35:45.410 -> 31.37, -1.37, -24.75, 0, 0.04, 0.00
18:35:46.424 -> 31.37, -1.37, -24.74, 0, -0.00, 0.00
18:35:47.443 -> 31.37, -1.37, -24.74, 0, -0.00, 0.00
18:35:48.483 -> 31.37, -1.37, -24.73, 0, -0.00, 0.00
18:35:49.494 -> 31.38, -1.38, -24.89, 0, -0.00, 0.00
18:35:50.510 -> 31.41, -1.41, -25.72, 0, -0.00, 0.00
