final_actions_13_20200821-230117
const unsigned char q_actions[448] = {0, 0, 0, 224, 247, 0, 0, 0, 0, 0, 0, 0, 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 239, 0, 0, 0, 0, 0, 239, 0, 0, 239, 0, 0, 0, 0, 0, 63, 0, 0, 225, 0, 0, 0, 0, 0, 234, 0, 0, 250, 0, 0, 0, 0, 0, 234, 0, 0, 250, 0, 0, 0, 0, 0, 234, 0, 0, 250, 0, 0, 0, 0, 0, 234, 0, 0, 250, 0, 0, 0, 0, 0, 243, 0, 0, 250, 0, 0, 0, 0, 0, 9, 0, 0, 250, 0, 0, 0, 0, 0, 237, 0, 0, 250, 0, 0, 0, 0, 0, 37, 0, 0, 250, 0, 0, 0, 0, 0, 151, 0, 0, 250, 0, 0, 0, 0, 0, 151, 0, 0, 250, 0, 0, 0, 0, 0, 151, 0, 0, 250, 0, 0, 0, 0, 0, 151, 0, 0, 250, 0, 0, 0, 0, 0, 147, 0, 0, 234, 0, 0, 0, 0, 0, 152, 0, 0, 234, 0, 0, 0, 0, 0, 78, 0, 0, 234, 0, 0, 0, 0, 0, 17, 0, 0, 234, 0, 0, 0, 0, 0, 30, 0, 0, 125, 0, 0, 0, 0, 0, 200, 0, 0, 125, 0, 0, 0, 0, 0, 200, 0, 0, 125, 0, 0, 0, 0, 0, 3, 0, 0, 125, 0, 0, 0, 0, 0, 200, 0, 0, 125, 0, 0, 0, 0, 0, 200, 0, 0, 125, 0, 0, 0, 0, 0, 109, 0, 0, 125, 0, 0, 0, 0, 0, 200, 0, 0, 125, 0, 0, 0, 0, 0, 200, 0, 0, 125, 0, 0, 0, 0, 0, 109, 0, 0, 125, 0, 0, 0, 0, 0, 109, 0, 0, 125, 0, 0, 0, 0, 0, 109, 0, 0, 125, 0, 0, 0, 0, 0, 109, 0, 0, 125, 0, 0, 0, 0, 0, 218, 0, 0, 125, 0, 0, 0, 0, 0, 144, 0, 0, 34, 0, 0, 0, 0, 0, 50, 0, 0, 80, 0, 0, 0, 0, 0, 12, 0, 0, 203, 0, 0, 0, 0, 0, 86, 0, 0, 39, 0, 0, 0, 0, 0, 97, 0, 0, 26, 0, 0, 0, 0, 0, 203, 0, 0, 210, 0, 0, 0, 0, 0, 128, 0, 0, 84, 0, 0, 0, 0, 0, 175, 0, 0, 112, 0, 0, 0, 0, 0, 11, 0, 0, 68, 0, 0, 0, 0, 0, 67, 0, 0, 158, 0, 0, 0, 0, 0, 13, 0, 0, 37, 0, 0, 0, 0, 0, 18, 0, 0};

Timestamp, Temperature (ºC), Setpoint, Error, Velocity, Acceleration, State, PWM output, Current, PWM / Current
23:06:05.214, 22.00, 26.31, -4.31, 0.00, 0.00, 67, 63, 0.67, 93.35
23:06:06.240, 22.00, 26.31, -4.31, 0.00, 0.00, 67, 63, 0.49, 129.34
23:06:07.260, 22.00, 26.31, -4.31, 0.00, 0.00, 67, 63, 0.34, 187.03
23:06:08.294, 22.00, 26.31, -4.31, 0.00, 0.00, 67, 63, 1.88, 33.57
23:06:09.335, 22.00, 26.31, -4.31, 0.00, 0.00, 67, 63, 0.86, 73.03
23:06:10.347, 22.00, 26.31, -4.31, 0.00, 0.00, 67, 63, 0.45, 140.15
23:06:11.382, 22.00, 26.31, -4.31, 0.00, 0.00, 67, 63, 1.91, 32.91
23:06:12.396, 22.00, 26.31, -4.31, 0.00, 0.00, 67, 63, 1.13, 55.97
23:06:13.407, 22.00, 26.31, -4.31, 0.00, 0.00, 67, 63, 0.67, 93.35
23:06:14.457, 22.00, 26.31, -4.31, 0.00, 0.00, 67, 63, 0.34, 187.03
23:06:15.453, 22.09, 26.31, -4.23, 0.09, 0.09, 80, 0, 1.65, 0.00
23:06:16.494, 22.09, 26.31, -4.23, 0.00, -0.09, 75, 0, -0.00, 0.00
23:06:17.515, 22.09, 26.31, -4.23, 0.00, 0.00, 76, 234, 0.30, 781.87
23:06:18.553, 22.00, 26.31, -4.31, -0.09, -0.09, 63, 0, 3.12, 0.00
23:06:19.572, 22.09, 26.31, -4.23, 0.09, 0.17, 81, 0, 0.04, 0.00
23:06:20.576, 22.09, 26.31, -4.23, 0.00, -0.09, 75, 0, 0.04, 0.00
23:06:21.605, 22.17, 26.31, -4.14, 0.09, 0.09, 89, 0, -0.00, 0.00
23:06:22.625, 22.17, 26.31, -4.14, 0.00, -0.09, 84, 0, 0.04, 0.00
23:06:23.640, 22.17, 26.31, -4.14, 0.00, 0.00, 85, 234, 0.34, 694.69
23:06:24.688, 22.09, 26.31, -4.23, -0.09, -0.09, 72, 0, 3.19, 0.00
23:06:25.691, 22.17, 26.31, -4.14, 0.09, 0.17, 90, 0, 0.04, 0.00
23:06:26.714, 22.17, 26.31, -4.14, 0.00, -0.09, 84, 0, 0.04, 0.00
23:06:27.736, 22.26, 26.31, -4.05, 0.09, 0.09, 89, 0, 0.04, 0.00
23:06:28.757, 22.26, 26.31, -4.05, 0.00, -0.09, 84, 0, -0.00, 0.00
23:06:29.788, 22.26, 26.31, -4.05, 0.00, 0.00, 85, 234, -0.00, -195079.06
23:06:30.801, 22.17, 26.31, -4.14, -0.09, -0.09, 81, 0, 2.93, 0.00
23:06:31.827, 22.26, 26.31, -4.05, 0.09, 0.17, 90, 0, 0.04, 0.00
23:06:32.881, 22.26, 26.31, -4.05, 0.00, -0.09, 84, 0, -0.00, 0.00
23:06:33.884, 22.26, 26.31, -4.05, 0.00, 0.00, 85, 234, 0.37, 625.00
