//action matrix for training simulation final_actions_11_2_20200821-001751
const unsigned char q_actions[150] = {0, 250, 241, 0, 232, 246, 0, 105, 240, 0, 244, 236, 0, 226, 235, 0, 241, 241, 0, 17, 234, 0, 241, 241, 0, 254, 248, 0, 246, 246, 0, 252, 252, 0, 225, 225, 0, 254, 249, 0, 136, 136, 0, 245, 245, 0, 252, 254, 0, 59, 236, 0, 165, 191, 0, 155, 252, 0, 253, 5, 0, 187, 190, 0, 199, 250, 0, 98, 216, 0, 188, 174, 0, 139, 195, 0, 165, 253, 0, 172, 172, 0, 226, 152, 0, 92, 50, 0, 80, 92, 0, 99, 234, 0, 117, 78, 0, 14, 14, 0, 112, 241, 0, 161, 63, 0, 115, 147, 0, 155, 155, 0, 4, 249, 0, 24, 91, 0, 152, 194, 0, 151, 151, 0, 11, 107, 0, 222, 11, 0, 161, 16, 0, 88, 161, 0, 116, 187, 0, 81, 81, 0, 110, 81, 0, 49, 12, 0, 110, 31};

00:22:29.084 -> Timestamp, Temperature (ºC), Setpoint, Error, Delta_T, State, PWM output, Current, PWM / Current
00:22:30.158 -> 22.78, 0.20, 22.58, 22.78, 830, 0, -0.00, 0.00
00:22:31.175 -> 22.78, 0.20, 22.58, 0.00, 829, 0, -0.00, 0.00
00:22:32.199 -> 22.78, 0.20, 22.58, 0.00, 829, 0, -0.00, 0.00
00:22:33.215 -> 22.78, 0.20, 22.58, 0.00, 829, 0, 0.04, 0.00
00:22:34.250 -> 22.78, 0.20, 22.58, 0.00, 829, 0, -0.00, 0.00
00:22:35.266 -> 27.58
00:22:35.266 -> 22.78, 27.78, -5.00, 0.00, 1, 250, -0.00, -208417.79
00:22:36.303 -> 22.78, 27.78, -5.00, 0.00, 1, 250, 3.60, 69.36
00:22:37.311 -> 22.78, 27.78, -5.00, 0.00, 1, 250, 3.57, 70.09
00:22:38.328 -> 22.69, 27.78, -5.09, -0.09, -3, 0, 3.45, 0.00
00:22:39.377 -> 22.78, 27.78, -5.00, 0.09, 2, 241, 0.19, 1291.53
00:22:40.392 -> 22.69, 27.78, -5.09, -0.09, -3, 0, 3.42, 0.00
00:22:41.394 -> 22.78, 27.78, -5.00, 0.09, 2, 241, 0.19, 1291.53
00:22:42.427 -> 22.69, 27.78, -5.09, -0.09, -3, 0, 3.38, 0.00
00:22:43.448 -> 22.78, 27.78, -5.00, 0.09, 2, 241, -0.00, -200914.76
00:22:44.476 -> 22.69, 27.78, -5.09, -0.09, -3, 0, 3.42, 0.00
00:22:45.499 -> 22.78, 27.78, -5.00, 0.09, 2, 241, 0.19, 1291.53
00:22:46.511 -> 22.69, 27.78, -5.09, -0.09, -3, 0, 3.45, 0.00
00:22:47.531 -> 22.78, 27.78, -5.00, 0.09, 2, 241, 0.11, 2161.81
00:22:48.572 -> 22.69, 27.78, -5.09, -0.09, -3, 0, 3.38, 0.00
00:22:49.585 -> 22.78, 27.78, -5.00, 0.09, 2, 241, 0.19, 1291.53
00:22:50.611 -> 22.78, 27.78, -5.00, 0.00, 1, 250, 3.53, 70.83
00:22:51.647 -> 22.78, 27.78, -5.00, 0.00, 1, 250, 3.60, 69.36
00:22:52.666 -> 22.78, 27.78, -5.00, 0.00, 1, 250, 3.60, 69.36
