// action matrix for training simulation 11_20200820-093404
const unsigned char q_actions[153] = {0, 254, 0, 0, 252, 248, 0, 238, 254, 0, 189, 189, 0, 254, 237, 0, 237, 184, 0, 3, 207, 0, 221, 0, 0, 224, 218, 0, 236, 236, 0, 244, 244, 0, 243, 243, 0, 111, 111, 0, 112, 195, 0, 188, 188, 0, 252, 252, 0, 235, 199, 0, 200, 166, 0, 220, 240, 0, 250, 252, 0, 147, 70, 0, 47, 191, 0, 238, 70, 0, 147, 178, 0, 87, 64, 0, 110, 9, 0, 155, 122, 0, 75, 226, 0, 197, 132, 0, 65, 243, 0, 126, 159, 0, 209, 99, 0, 175, 135, 0, 29, 140, 0, 251, 170, 0, 158, 146, 0, 179, 90, 0, 33, 31, 0, 131, 81, 0, 59, 137, 0, 102, 104, 0, 52, 102, 0, 187, 249, 0, 99, 118, 0, 224, 129, 0, 178, 243, 0, 97, 123, 0, 55, 100, 0, 0, 189, 0, 140, 62, 0, 0, 219};

09:39:37.530 -> Timestamp, Temperature (ºC), Setpoint, Error, Delta_T, State, PWM output, Current, PWM / Current
09:39:38.594 -> 23.12, 0.00, 22.92, 23.12, 839, 0, 0.04, 0.00
09:39:39.613 -> 23.12, 0.00, 22.92, 0.00, 838, 0, -0.00, 0.00
09:39:40.616 -> 23.12, 0.00, 22.92, 0.00, 838, 0, -0.00, 0.00
09:39:41.663 -> 23.21, 0.00, 23.01, 0.09, 842, 0, 0.04, 0.00
09:39:42.662 -> 23.21, 0.00, 23.01, 0.00, 841, 0, 0.04, 0.00
09:39:43.692 -> 28.01
09:39:43.692 -> 23.21, 28.01, -5.00, 0.00, 1, 254, -0.00, -211752.48
09:39:44.701 -> 23.21, 28.01, -5.00, 0.00, 1, 254, 3.60, 70.47
09:39:45.742 -> 23.21, 28.01, -5.00, 0.00, 1, 254, 3.60, 70.47
09:39:46.771 -> 23.21, 28.01, -5.00, 0.00, 1, 254, 3.60, 70.47
09:39:47.797 -> 23.21, 28.01, -5.00, 0.00, 1, 254, 3.64, 69.74
09:39:48.818 -> 23.21, 28.01, -5.00, 0.00, 1, 254, 3.60, 70.47
09:39:49.818 -> 23.30, 28.01, -4.91, 0.09, 5, 248, 3.60, 68.80
09:39:50.857 -> 23.30, 28.01, -4.91, 0.00, 4, 252, 3.53, 71.40
09:39:51.878 -> 23.30, 28.01, -4.91, 0.00, 4, 252, 3.60, 69.91
09:39:52.918 -> 23.30, 28.01, -4.91, 0.00, 4, 252, 3.60, 69.91
09:39:53.934 -> 23.30, 28.01, -4.91, 0.00, 4, 252, 3.60, 69.91
09:39:54.943 -> 23.30, 28.01, -4.91, 0.00, 4, 252, 3.57, 70.65
09:39:55.959 -> 23.39, 28.01, -4.83, 0.09, 8, 254, 3.57, 71.21
09:39:56.999 -> 23.39, 28.01, -4.83, 0.00, 7, 238, 3.60, 66.03
09:39:58.031 -> 23.39, 28.01, -4.83, 0.00, 7, 238, 3.57, 66.72
09:39:59.043 -> 23.39, 28.01, -4.83, 0.00, 7, 238, 3.53, 67.43
09:40:00.068 -> 23.47, 28.01, -4.74, 0.09, 11, 189, 3.49, 54.13
09:40:01.073 -> 23.47, 28.01, -4.74, 0.00, 10, 189, 3.00, 62.92
09:40:02.102 -> 23.56, 28.01, -4.65, 0.09, 11, 189, 2.40, 78.66
09:40:03.139 -> 23.56, 28.01, -4.65, 0.00, 10, 189, 1.84, 102.76
09:40:04.172 -> 23.65, 28.01, -4.56, 0.09, 14, 237, 3.27, 72.55
09:40:05.197 -> 23.65, 28.01, -4.56, 0.00, 13, 254, 3.45, 73.53
09:40:06.215 -> 23.73, 28.01, -4.48, 0.09, 17, 184, 3.60, 51.05
09:40:07.235 -> 23.73, 28.01, -4.48, 0.00, 16, 237, 1.95, 121.42
09:40:08.268 -> 23.82, 28.01, -4.39, 0.09, 20, 207, 3.45, 59.92
09:40:09.263 -> 23.82, 28.01, -4.39, 0.00, 19, 3, 3.38, 0.89
09:40:10.312 -> 23.91, 28.01, -4.30, 0.09, 23, 0, 0.07, 0.00
09:40:11.313 -> 23.91, 28.01, -4.30, 0.00, 22, 221, 0.04, 6078.01
09:40:12.332 -> 23.91, 28.01, -4.30, 0.00, 22, 221, 3.08, 71.78
09:40:13.354 -> 24.00, 28.01, -4.22, 0.09, 26, 218, 2.85, 76.40
09:40:14.404 -> 24.00, 28.01, -4.22, 0.00, 25, 224, 2.59, 86.47
09:40:15.415 -> 24.08, 28.01, -4.13, 0.09, 29, 236, 3.38, 69.84
09:40:16.440 -> 24.08, 28.01, -4.13, 0.00, 28, 236, 3.49, 67.59
09:40:17.460 -> 24.08, 28.01, -4.13, 0.00, 28, 236, 3.49, 67.59
09:40:18.484 -> 24.17, 28.01, -4.04, 0.09, 32, 244, 3.45, 70.64
09:40:19.512 -> 24.17, 28.01, -4.04, 0.00, 31, 244, 3.42, 71.41
09:40:20.528 -> 24.17, 28.01, -4.04, 0.00, 31, 244, 3.45, 70.64
09:40:21.560 -> 24.26, 28.01, -3.95, 0.09, 32, 244, 3.57, 68.40
09:40:22.575 -> 24.26, 28.01, -3.95, 0.00, 31, 244, 3.57, 68.40
09:40:23.583 -> 24.26, 28.01, -3.95, 0.00, 31, 244, 3.53, 69.13
09:40:24.611 -> 24.35, 28.01, -3.86, 0.09, 35, 243, 3.53, 68.85
09:40:25.632 -> 24.35, 28.01, -3.86, 0.00, 34, 243, 3.45, 70.35
09:40:26.670 -> 24.35, 28.01, -3.86, 0.00, 34, 243, 3.57, 68.12
09:40:27.702 -> 24.43, 28.01, -3.78, 0.09, 38, 111, 3.57, 31.12
09:40:28.697 -> 24.43, 28.01, -3.78, 0.00, 37, 111, 0.64, 174.17
09:40:29.747 -> 24.52, 28.01, -3.69, 0.09, 41, 195, 0.64, 305.97
09:40:30.766 -> 24.52, 28.01, -3.69, 0.00, 40, 112, 2.82, 39.78
09:40:31.801 -> 24.52, 28.01, -3.69, 0.00, 40, 112, 1.43, 78.54
09:40:32.798 -> 24.61, 28.01, -3.60, 0.09, 44, 188, 2.03, 92.75
09:40:33.837 -> 24.61, 28.01, -3.60, 0.00, 43, 188, 3.19, 58.91
09:40:34.854 -> 24.70, 28.01, -3.51, 0.09, 47, 252, 3.23, 78.04
09:40:35.891 -> 24.70, 28.01, -3.51, 0.00, 46, 252, 3.57, 70.65
09:40:36.889 -> 24.70, 28.01, -3.51, 0.00, 46, 252, 3.60, 69.91
09:40:37.917 -> 24.70, 28.01, -3.51, 0.00, 46, 252, 3.60, 69.91
09:40:38.930 -> 24.79, 28.01, -3.42, 0.09, 50, 199, 3.57, 55.79
09:40:39.980 -> 24.79, 28.01, -3.42, 0.00, 49, 235, 2.63, 89.42
09:40:40.993 -> 24.87, 28.01, -3.34, 0.09, 53, 166, 3.53, 47.03
09:40:42.017 -> 24.87, 28.01, -3.34, 0.00, 52, 200, 2.14, 93.47
09:40:43.029 -> 24.87, 28.01, -3.34, 0.00, 52, 200, 2.74, 72.97
09:40:44.061 -> 24.96, 28.01, -3.25, 0.09, 56, 240, 3.42, 70.24
09:40:45.091 -> 24.96, 28.01, -3.25, 0.00, 55, 220, 3.49, 63.00
09:40:46.110 -> 24.96, 28.01, -3.25, 0.00, 55, 220, 3.08, 71.46
09:40:47.145 -> 25.05, 28.01, -3.16, 0.09, 56, 240, 2.97, 80.92
09:40:48.147 -> 25.05, 28.01, -3.16, 0.00, 55, 220, 3.45, 63.69
09:40:49.182 -> 25.14, 28.01, -3.07, 0.09, 59, 252, 3.49, 72.17
09:40:50.218 -> 25.14, 28.01, -3.07, 0.00, 58, 250, 3.57, 70.09
09:40:51.232 -> 25.14, 28.01, -3.07, 0.00, 58, 250, 3.60, 69.36
09:40:52.244 -> 25.23, 28.01, -2.98, 0.09, 62, 70, 3.57, 19.62
09:40:53.273 -> 25.32, 28.01, -2.89, 0.09, 65, 191, 0.98, 195.82
09:40:54.289 -> 25.32, 28.01, -2.89, 0.00, 64, 47, 2.06, 22.76
09:40:55.314 -> 25.41, 28.01, -2.81, 0.09, 68, 70, 0.30, 233.89
09:40:56.334 -> 25.41, 28.01, -2.81, 0.00, 67, 238, 0.67, 352.65
09:40:57.380 -> 25.41, 28.01, -2.81, 0.00, 67, 238, 3.49, 68.16
09:40:58.410 -> 25.49, 28.01, -2.72, 0.09, 71, 178, 3.45, 51.53
09:40:59.419 -> 25.49, 28.01, -2.72, 0.00, 70, 147, 2.29, 64.19
09:41:00.450 -> 25.58, 28.01, -2.63, 0.09, 74, 64, 1.35, 47.37
09:41:01.470 -> 25.67, 28.01, -2.54, 0.09, 77, 9, 0.37, 24.04
09:41:02.478 -> 25.67, 28.01, -2.54, 0.00, 76, 110, 0.07, 1488.08
09:41:03.515 -> 25.67, 28.01, -2.54, 0.00, 76, 110, 1.28, 86.22
09:41:04.525 -> 25.76, 28.01, -2.45, 0.09, 77, 9, 1.91, 4.70
09:41:05.544 -> 25.76, 28.01, -2.45, 0.00, 76, 110, 0.22, 490.72
09:41:06.562 -> 25.76, 28.01, -2.45, 0.00, 76, 110, 2.29, 48.04
09:41:07.603 -> 25.85, 28.01, -2.36, 0.09, 80, 122, 2.06, 59.09
09:41:08.627 -> 25.85, 28.01, -2.36, 0.00, 79, 155, 1.35, 114.73
09:41:09.635 -> 25.85, 28.01, -2.36, 0.00, 79, 155, 1.39, 111.63
09:41:10.662 -> 25.94, 28.01, -2.27, 0.09, 83, 226, 1.35, 167.29
09:41:11.683 -> 25.94, 28.01, -2.27, 0.00, 82, 75, 3.49, 21.48
09:41:12.699 -> 25.94, 28.01, -2.27, 0.00, 82, 75, 1.16, 64.48
09:41:13.739 -> 26.03, 28.01, -2.18, 0.09, 86, 132, 1.46, 90.19
09:41:14.777 -> 26.03, 28.01, -2.18, 0.00, 85, 197, 2.67, 73.91
09:41:15.783 -> 26.03, 28.01, -2.18, 0.00, 85, 197, 2.55, 77.17
09:41:16.814 -> 26.03, 28.01, -2.18, 0.00, 85, 197, 2.03, 97.19
