// action matrix for training simulation 11_20200820-093404
const unsigned char q_actions[174] = {0, 254, 234, 0, 227, 246, 0, 252, 252, 0, 227, 250, 0, 252, 231, 0, 238, 238, 0, 234, 234, 0, 237, 237, 0, 230, 230, 0, 234, 234, 0, 91, 243, 0, 39, 39, 0, 86, 86, 0, 187, 54, 0, 225, 239, 0, 235, 240, 0, 203, 66, 0, 145, 39, 0, 193, 192, 0, 53, 125, 0, 96, 183, 0, 15, 240, 0, 116, 92, 0, 160, 196, 0, 214, 55, 0, 109, 119, 0, 29, 14, 0, 98, 152, 0, 63, 31, 0, 224, 148, 0, 170, 206, 0, 198, 254, 0, 249, 252, 0, 201, 190, 0, 166, 155, 0, 115, 108, 0, 122, 30, 0, 245, 66, 0, 14, 42, 0, 239, 175, 0, 37, 199, 0, 0, 147, 0, 151, 144, 0, 181, 203, 0, 18, 5, 0, 116, 174, 0, 10, 160, 0, 29, 159, 0, 159, 214, 0, 159, 57, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1};


Timestamp, Temperature (ºC), Setpoint, Error, Delta_T, State, PWM output, Current, PWM / Current
10:33:01.460, 24.52, 27.69, -3.17, 0.00, 55, 193, 2.03, 95.21
10:33:02.460, 24.61, 27.69, -3.08, 0.09, 59, 125, 3.42, 36.58
10:33:03.490, 24.61, 27.69, -3.08, 0.00, 58, 53, 2.67, 19.88
10:33:04.513, 24.70, 27.69, -2.99, 0.09, 62, 183, 0.64, 287.14
10:33:05.553, 24.70, 27.69, -2.99, 0.00, 61, 96, 2.85, 33.64
10:33:06.560, 24.70, 27.69, -2.99, 0.00, 61, 96, 2.06, 46.50
10:33:07.593, 24.79, 27.69, -2.90, 0.09, 65, 240, 1.01, 236.94
10:33:08.613, 24.79, 27.69, -2.90, 0.00, 64, 15, 3.57, 4.21
10:33:09.616, 24.79, 27.69, -2.90, 0.00, 64, 15, 0.19, 80.39
10:33:10.640, 24.87, 27.69, -2.82, 0.09, 68, 92, 0.22, 410.42
10:33:11.673, 24.87, 27.69, -2.82, 0.00, 67, 116, 1.69, 68.68
10:33:12.717, 24.87, 27.69, -2.82, 0.00, 67, 116, 2.21, 52.37
10:33:13.732, 24.87, 27.69, -2.82, 0.00, 67, 116, 1.84, 63.07
10:33:14.760, 24.96, 27.69, -2.73, 0.09, 71, 196, 1.01, 193.50
10:33:15.759, 24.96, 27.69, -2.73, 0.00, 70, 160, 3.23, 49.55
10:33:16.794, 24.96, 27.69, -2.73, 0.00, 70, 160, 2.93, 54.64
10:33:17.821, 24.96, 27.69, -2.73, 0.00, 70, 160, 2.67, 60.02
10:33:18.851, 25.05, 27.69, -2.64, 0.09, 74, 55, 2.06, 26.64
10:33:19.856, 25.05, 27.69, -2.64, 0.00, 73, 214, 0.22, 954.67
10:33:20.881, 25.05, 27.69, -2.64, 0.00, 73, 214, 3.45, 61.95
10:33:21.913, 25.14, 27.69, -2.55, 0.09, 74, 55, 3.27, 16.84
10:33:22.950, 25.14, 27.69, -2.55, 0.00, 73, 214, 0.98, 219.41
10:33:23.961, 25.14, 27.69, -2.55, 0.00, 73, 214, 2.70, 79.17
10:33:24.981, 25.14, 27.69, -2.55, 0.00, 73, 214, 3.49, 61.28
10:33:26.014, 25.23, 27.69, -2.46, 0.09, 77, 119, 3.30, 36.02
10:33:27.017, 25.23, 27.69, -2.46, 0.00, 76, 109, 2.82, 38.71
10:33:28.061, 25.32, 27.69, -2.37, 0.09, 80, 14, 2.55, 5.48
10:33:29.079, 25.32, 27.69, -2.37, 0.00, 79, 29, 0.60, 48.35
10:33:30.102, 25.32, 27.69, -2.37, 0.00, 79, 29, 0.34, 86.09
10:33:31.134, 25.41, 27.69, -2.29, 0.09, 83, 152, 0.41, 368.97
10:33:32.137, 25.41, 27.69, -2.29, 0.00, 82, 98, 2.18, 45.01
10:33:33.177, 25.49, 27.69, -2.20, 0.09, 86, 31, 1.20, 25.82
10:33:34.202, 25.49, 27.69, -2.20, 0.00, 85, 63, 0.37, 168.27
10:33:35.220, 25.49, 27.69, -2.20, 0.00, 85, 63, 1.35, 46.63
10:33:36.252, 25.58, 27.69, -2.11, 0.09, 89, 148, 1.58, 93.89
10:33:37.246, 25.58, 27.69, -2.11, 0.00, 88, 224, 1.88, 119.35
10:33:38.278, 25.58, 27.69, -2.11, 0.00, 88, 224, 3.38, 66.29
10:33:39.312, 25.67, 27.69, -2.02, 0.09, 92, 206, 3.00, 68.58
10:33:40.339, 25.67, 27.69, -2.02, 0.00, 91, 170, 2.40, 70.76
10:33:41.351, 25.67, 27.69, -2.02, 0.00, 91, 170, 3.04, 55.90
10:33:42.358, 25.76, 27.69, -1.93, 0.09, 95, 254, 2.85, 89.02
10:33:43.382, 25.76, 27.69, -1.93, 0.00, 94, 198, 3.60, 54.93
10:33:44.423, 25.76, 27.69, -1.93, 0.00, 94, 198, 3.38, 58.59
10:33:45.439, 25.85, 27.69, -1.84, 0.09, 98, 252, 3.23, 78.04
10:33:46.471, 25.85, 27.69, -1.84, 0.00, 97, 249, 3.57, 69.81
10:33:47.492, 25.85, 27.69, -1.84, 0.00, 97, 249, 3.60, 69.08
10:33:48.504, 25.94, 27.69, -1.75, 0.09, 98, 252, 3.57, 70.65
10:33:49.532, 25.94, 27.69, -1.75, 0.00, 97, 249, 3.57, 69.81
10:33:50.559, 25.94, 27.69, -1.75, 0.00, 97, 249, 3.60, 69.08
10:33:51.573, 26.03, 27.69, -1.66, 0.09, 101, 190, 3.57, 53.27
10:33:52.611, 26.03, 27.69, -1.66, 0.00, 100, 201, 2.18, 92.32
10:33:53.639, 26.12, 27.69, -1.57, 0.09, 104, 155, 3.42, 45.36
10:33:54.663, 26.21, 27.69, -1.48, 0.09, 107, 108, 2.40, 44.95
10:33:55.667, 26.21, 27.69, -1.48, 0.00, 106, 115, 1.80, 63.83
10:33:56.715, 26.30, 27.69, -1.39, 0.09, 110, 30, 2.74, 10.95
10:33:57.719, 26.30, 27.69, -1.39, 0.00, 109, 122, 0.67, 180.77
10:33:58.741, 26.39, 27.69, -1.31, 0.09, 113, 66, 2.40, 27.47
10:33:59.778, 26.48, 27.69, -1.22, 0.09, 116, 42, 1.84, 22.84
10:34:00.804, 26.48, 27.69, -1.22, 0.00, 115, 14, 0.19, 75.03
10:34:01.825, 26.56, 27.69, -1.13, 0.09, 119, 175, 0.15, 1174.17
10:34:02.849, 26.56, 27.69, -1.13, 0.00, 118, 239, 3.27, 73.17
10:34:03.870, 26.56, 27.69, -1.13, 0.00, 118, 239, 3.34, 71.52
10:34:04.880, 26.65, 27.69, -1.04, 0.09, 122, 199, 3.57, 55.79
10:34:05.920, 26.65, 27.69, -1.04, 0.00, 121, 37, 3.30, 11.20
10:34:06.926, 26.74, 27.69, -0.95, 0.09, 125, 147, 0.71, 206.33
10:34:07.965, 26.74, 27.69, -0.95, 0.00, 124, 0, 2.93, 0.00
10:34:08.978, 26.83, 27.69, -0.86, 0.09, 125, 147, 0.15, 986.31
10:34:10.005, 26.83, 27.69, -0.86, 0.00, 124, 0, 1.54, 0.00
10:34:11.012, 26.92, 27.69, -0.77, 0.09, 128, 144, 0.15, 966.18
10:34:12.051, 26.92, 27.69, -0.77, 0.00, 127, 151, 2.29, 65.94
10:34:13.055, 26.92, 27.69, -0.77, 0.00, 127, 151, 2.82, 53.63
10:34:14.081, 26.92, 27.69, -0.77, 0.00, 127, 151, 2.33, 64.88
10:34:15.123, 27.01, 27.69, -0.68, 0.09, 131, 203, 1.43, 142.35
10:34:16.143, 27.01, 27.69, -0.68, 0.00, 130, 181, 3.38, 53.56
10:34:17.146, 27.01, 27.69, -0.68, 0.00, 130, 181, 3.34, 54.16
10:34:18.193, 27.10, 27.69, -0.59, 0.09, 134, 5, 2.85, 1.75
10:34:19.213, 27.10, 27.69, -0.59, 0.00, 133, 18, 0.22, 80.30
